town,flat_type,floor_area_sqm,flat_model,lease_commence_date,resale_price
CHOA CHU KANG,4 ROOM,104,Model A,1989,400000
BUKIT MERAH,3 ROOM,64,Standard,1969,404000
JURONG WEST,EXECUTIVE,141,Apartment,1989,422000
JURONG WEST,3 ROOM,74,Model A,1984,375000
JURONG EAST,4 ROOM,95,New Generation,1982,385000
JURONG EAST,5 ROOM,120,Improved,1998,655000
ANG MO KIO,4 ROOM,92,New Generation,1977,590000
CENTRAL AREA,3 ROOM,75,Model A,1984,375000
ANG MO KIO,4 ROOM,92,New Generation,1978,490000
GEYLANG,4 ROOM,92,New Generation,1976,543000
BUKIT PANJANG,4 ROOM,94,Premium Apartment,2002,435000
MARINE PARADE,3 ROOM,65,Improved,1975,465000
HOUGANG,4 ROOM,104,Model A,1987,448000
SENGKANG,5 ROOM,114,Premium Apartment,2004,460000
BEDOK,4 ROOM,93,New Generation,1985,405000
WOODLANDS,EXECUTIVE,145,Apartment,1996,638888
BUKIT BATOK,4 ROOM,84,Simplified,1986,353000
SENGKANG,4 ROOM,90,Model A,2002,454000
BUKIT MERAH,4 ROOM,92,New Generation,1985,638000
CHOA CHU KANG,4 ROOM,90,Model A,2003,430000
HOUGANG,3 ROOM,64,Simplified,1986,280000
YISHUN,3 ROOM,74,Model A,1986,316988
BEDOK,3 ROOM,68,New Generation,1982,319000
CLEMENTI,5 ROOM,123,Improved,1979,675000
GEYLANG,4 ROOM,84,Simplified,1986,410000
QUEENSTOWN,3 ROOM,56,Standard,1971,335000
ANG MO KIO,3 ROOM,68,New Generation,1979,290000
TOA PAYOH,5 ROOM,125,Improved,1989,608000
CHOA CHU KANG,4 ROOM,104,Model A,1993,300000
TAMPINES,4 ROOM,105,Model A,1985,465000
WOODLANDS,5 ROOM,122,Improved,1998,480000
TAMPINES,4 ROOM,104,Model A,1988,425000
BEDOK,4 ROOM,91,New Generation,1978,410000
WOODLANDS,5 ROOM,122,Improved,1996,455000
YISHUN,4 ROOM,84,Simplified,1986,350000
JURONG WEST,5 ROOM,110,Improved,2001,510000
YISHUN,5 ROOM,121,Improved,1985,515000
WOODLANDS,5 ROOM,121,Improved,1999,475000
BUKIT BATOK,4 ROOM,84,Simplified,1987,390000
WOODLANDS,4 ROOM,100,Model A,1996,385000
KALLANG/WHAMPOA,3 ROOM,65,Improved,1974,243888
TAMPINES,5 ROOM,109,DBSS,2008,708000
BUKIT PANJANG,5 ROOM,121,Improved,1998,470000
JURONG EAST,EXECUTIVE,147,Maisonette,1985,680000
BUKIT MERAH,3 ROOM,88,Standard,1973,650000
BUKIT MERAH,3 ROOM,72,Improved,1975,390000
BEDOK,3 ROOM,83,New Generation,1980,385000
SEMBAWANG,EXECUTIVE,131,Premium Apartment,2001,528000
TOA PAYOH,4 ROOM,104,Model A,1984,490000
PASIR RIS,4 ROOM,106,Model A,1990,390000
TAMPINES,5 ROOM,133,Model A,1995,622900
MARINE PARADE,4 ROOM,82,Improved,1976,527000
JURONG WEST,5 ROOM,110,Premium Apartment,2008,438000
GEYLANG,4 ROOM,100,New Generation,1980,510000
TAMPINES,4 ROOM,108,Model A,1985,500000
BISHAN,EXECUTIVE,144,Apartment,1986,910000
ANG MO KIO,4 ROOM,92,New Generation,1981,425000
WOODLANDS,4 ROOM,88,Simplified,1989,346000
WOODLANDS,EXECUTIVE,140,Apartment,1999,588000
YISHUN,4 ROOM,84,Simplified,1985,360000
YISHUN,3 ROOM,64,Simplified,1985,270000
BUKIT MERAH,3 ROOM,67,New Generation,1976,365000
CENTRAL AREA,4 ROOM,85,Model A,2003,506888
QUEENSTOWN,3 ROOM,56,Standard,1973,340000
BEDOK,3 ROOM,67,New Generation,1985,350000
ANG MO KIO,EXECUTIVE,153,Apartment,1996,760000
PUNGGOL,5 ROOM,110,Premium Apartment,2005,500000
SEMBAWANG,5 ROOM,110,Improved,2001,415000
ANG MO KIO,3 ROOM,67,New Generation,1978,335000
WOODLANDS,5 ROOM,111,Premium Apartment,2004,399000
PUNGGOL,5 ROOM,110,Premium Apartment,2003,510000
HOUGANG,5 ROOM,121,Improved,1987,500000
BUKIT PANJANG,EXECUTIVE,143,Maisonette,1999,655000
YISHUN,3 ROOM,67,New Generation,1982,287000
JURONG WEST,4 ROOM,103,Model A,1985,425000
HOUGANG,4 ROOM,91,New Generation,1985,440000
BEDOK,4 ROOM,92,New Generation,1979,460000
CHOA CHU KANG,4 ROOM,104,Premium Apartment,1999,370000
JURONG EAST,4 ROOM,92,New Generation,1984,460000
TAMPINES,5 ROOM,122,Improved,1989,510000
QUEENSTOWN,3 ROOM,59,Improved,1974,355000
SEMBAWANG,4 ROOM,91,Model A,2001,380000
QUEENSTOWN,5 ROOM,111,Improved,2003,814000
JURONG WEST,3 ROOM,73,Model A,1984,306000
HOUGANG,4 ROOM,104,Model A,1987,427000
GEYLANG,3 ROOM,60.3,Standard,1967,295000
JURONG WEST,EXECUTIVE,130,Apartment,2001,592000
CLEMENTI,3 ROOM,67,New Generation,1979,310000
GEYLANG,4 ROOM,92,New Generation,1976,580000
CHOA CHU KANG,5 ROOM,120,Improved,1999,390000
WOODLANDS,4 ROOM,92,New Generation,1985,373000
ANG MO KIO,3 ROOM,68,New Generation,1981,277000
BUKIT PANJANG,4 ROOM,93,Premium Apartment,2004,425000
CHOA CHU KANG,4 ROOM,91,New Generation,1981,318000
CENTRAL AREA,3 ROOM,68,Improved,1978,550000
SENGKANG,5 ROOM,110,Improved,2001,580000
GEYLANG,4 ROOM,91,New Generation,1978,523000
QUEENSTOWN,3 ROOM,60,Improved,1970,315000
WOODLANDS,EXECUTIVE,146,Maisonette,1986,560000
SENGKANG,4 ROOM,88,Model A2,2000,378000
TAMPINES,4 ROOM,103,Model A,1984,387000
BISHAN,4 ROOM,112,Model A,1992,660000
CLEMENTI,EXECUTIVE,161,Maisonette,1985,888888
WOODLANDS,3 ROOM,67,New Generation,1986,332000
PUNGGOL,4 ROOM,92,Premium Apartment,2009,538000
HOUGANG,3 ROOM,64,Simplified,1989,291000
WOODLANDS,5 ROOM,113,Premium Apartment,2002,483000
ANG MO KIO,3 ROOM,89,New Generation,1979,435000
KALLANG/WHAMPOA,4 ROOM,92,Model A,2012,680000
SENGKANG,4 ROOM,90,Premium Apartment,2009,540000
HOUGANG,3 ROOM,74,Model A,1983,318888
BEDOK,5 ROOM,117,Standard,1979,517000
CLEMENTI,4 ROOM,104,Model A,1984,520000
WOODLANDS,4 ROOM,107,Premium Apartment,1999,408000
JURONG WEST,5 ROOM,127,Improved,1988,452000
QUEENSTOWN,4 ROOM,90,Model A,2008,705000
BUKIT BATOK,EXECUTIVE,144,Apartment,1998,735000
BUKIT BATOK,4 ROOM,105,Model A,1989,415000
JURONG WEST,4 ROOM,94,Premium Apartment,2008,410000
JURONG WEST,5 ROOM,110,Improved,2001,448000
WOODLANDS,EXECUTIVE,142,Maisonette,1999,600000
ANG MO KIO,3 ROOM,68,New Generation,1980,348000
SEMBAWANG,4 ROOM,90,Model A,2001,355000
WOODLANDS,4 ROOM,90,Model A2,1998,343000
BEDOK,4 ROOM,92,New Generation,1979,418000
TAMPINES,EXECUTIVE,146,Maisonette,1988,710000
YISHUN,5 ROOM,132,Model A,1992,516000
CHOA CHU KANG,EXECUTIVE,146,Maisonette,1996,580000
QUEENSTOWN,3 ROOM,65,Improved,1976,380000
YISHUN,5 ROOM,121,Improved,1987,445000
CHOA CHU KANG,5 ROOM,121,Improved,1997,485000
TAMPINES,5 ROOM,122,Improved,1988,532000
JURONG WEST,EXECUTIVE,156,Maisonette,1985,585000
BUKIT PANJANG,4 ROOM,101,Model A,1997,318000
PASIR RIS,4 ROOM,106,Model A,1989,405000
GEYLANG,5 ROOM,110,Improved,2000,840000
SENGKANG,5 ROOM,111,Premium Apartment,2002,365000
QUEENSTOWN,3 ROOM,56,Standard,1983,340100
TAMPINES,4 ROOM,105,Model A,1984,450000
JURONG EAST,4 ROOM,102,Model A,1998,465000
HOUGANG,EXECUTIVE,139,Apartment,1997,610000
WOODLANDS,EXECUTIVE,161,Apartment,1994,670000
GEYLANG,3 ROOM,63.1,Standard,1971,275000
KALLANG/WHAMPOA,3 ROOM,66,Improved,1972,370000
TAMPINES,3 ROOM,74,Model A,1988,356000
PUNGGOL,5 ROOM,110,Improved,2003,520000
SEMBAWANG,4 ROOM,102,Premium Apartment,2001,362000
JURONG WEST,3 ROOM,59,Improved,1975,230000
JURONG EAST,3 ROOM,72,Model A,2013,350000
GEYLANG,4 ROOM,93,Model A,2011,630000
PASIR RIS,5 ROOM,126,Improved,1993,470000
KALLANG/WHAMPOA,EXECUTIVE,141,Apartment,1986,769000
BUKIT PANJANG,4 ROOM,95,Premium Apartment,2004,465000
ANG MO KIO,3 ROOM,68,New Generation,1980,327000
PUNGGOL,3 ROOM,69,Premium Apartment,2012,380000
CLEMENTI,4 ROOM,90,Model A,2002,695000
MARINE PARADE,3 ROOM,65,Improved,1975,460000
HOUGANG,3 ROOM,67,New Generation,1984,265000
WOODLANDS,3 ROOM,65,Improved,1974,283000
PASIR RIS,4 ROOM,84,Simplified,1988,363000
TAMPINES,5 ROOM,128,Improved,1995,493000
PUNGGOL,4 ROOM,91,Premium Apartment,2005,509000
PUNGGOL,5 ROOM,112,Premium Apartment,2013,520000
BUKIT MERAH,2 ROOM,34,Standard,1971,210000
WOODLANDS,3 ROOM,65,Improved,1976,303000
TOA PAYOH,3 ROOM,57,Standard,1968,295000
KALLANG/WHAMPOA,4 ROOM,94,New Generation,1980,470000
BEDOK,3 ROOM,68,New Generation,1981,305000
JURONG WEST,EXECUTIVE,125,Apartment,2002,510000
BUKIT MERAH,5 ROOM,136,Model A,1984,770000
TAMPINES,3 ROOM,67,New Generation,1984,330000
TAMPINES,4 ROOM,104,Model A,1988,535000
JURONG WEST,3 ROOM,74,Model A,1984,320000
HOUGANG,5 ROOM,117,Improved,1997,710000
TOA PAYOH,3 ROOM,67,Improved,1969,370000
BISHAN,5 ROOM,121,Improved,1984,770000
KALLANG/WHAMPOA,3 ROOM,63,Standard,1981,345000
BEDOK,3 ROOM,65,Improved,1976,338000
HOUGANG,3 ROOM,67,New Generation,1985,345000
PASIR RIS,4 ROOM,103,Model A,1989,472000
GEYLANG,3 ROOM,56,Standard,1967,250000
TOA PAYOH,3 ROOM,67,Improved,1971,318000
ANG MO KIO,3 ROOM,81,New Generation,1980,413000
BUKIT MERAH,4 ROOM,91,New Generation,1978,530000
PASIR RIS,5 ROOM,133,Model A,1993,605000
SENGKANG,4 ROOM,94,Premium Apartment,2001,405000
SENGKANG,5 ROOM,110,Improved,2001,490000
JURONG WEST,5 ROOM,121,Improved,1990,449000
GEYLANG,4 ROOM,104,Model A,1986,435000
PASIR RIS,4 ROOM,105,Model A,1989,430000
PUNGGOL,4 ROOM,94,Premium Apartment,2004,421800
YISHUN,4 ROOM,105,Model A,1989,340000
SEMBAWANG,EXECUTIVE,125,Apartment,2002,515000
HOUGANG,4 ROOM,91,New Generation,1986,365000
BEDOK,4 ROOM,92,New Generation,1979,420000
HOUGANG,4 ROOM,84,Simplified,1987,419000
KALLANG/WHAMPOA,3 ROOM,59,Improved,1981,375000
GEYLANG,3 ROOM,75,Improved,1982,318000
BEDOK,3 ROOM,67,New Generation,1983,333000
CENTRAL AREA,2 ROOM,54,Improved,1982,279000
WOODLANDS,5 ROOM,125,Improved,1996,503000
CLEMENTI,4 ROOM,92,New Generation,1978,540000
BUKIT MERAH,5 ROOM,117,Improved,1981,695000
YISHUN,4 ROOM,104,Model A,1987,367000
PASIR RIS,4 ROOM,105,Model A,1989,437500
CHOA CHU KANG,EXECUTIVE,146,Maisonette,1989,635000
CHOA CHU KANG,4 ROOM,85,Model A2,2002,385000
BEDOK,3 ROOM,68,New Generation,1980,310000
YISHUN,3 ROOM,67,New Generation,1985,308000
TAMPINES,5 ROOM,127,Improved,1995,518000
CHOA CHU KANG,5 ROOM,111,Improved,2002,360000
SENGKANG,3 ROOM,83,Model A,2007,395000
BUKIT PANJANG,3 ROOM,73,Model A,1988,345000
ANG MO KIO,4 ROOM,83,New Generation,1978,446800
BUKIT PANJANG,5 ROOM,110,Premium Apartment,2004,480000
PUNGGOL,5 ROOM,112,Premium Apartment,2003,458000
CLEMENTI,5 ROOM,121,Improved,1984,668000
YISHUN,4 ROOM,84,Simplified,1985,380000
SENGKANG,5 ROOM,110,Premium Apartment,2003,570000
YISHUN,3 ROOM,67,New Generation,1985,310500
WOODLANDS,EXECUTIVE,177,Apartment,1995,720000
GEYLANG,4 ROOM,91,New Generation,1980,430000
TAMPINES,3 ROOM,64,Simplified,1987,285000
CHOA CHU KANG,5 ROOM,123,Improved,1996,423000
JURONG WEST,EXECUTIVE,130,Apartment,2000,566000
PUNGGOL,EXECUTIVE,128,Premium Apartment,2004,560000
CHOA CHU KANG,5 ROOM,126,Improved,1996,477000
JURONG WEST,4 ROOM,91,Model A,2002,410000
TOA PAYOH,3 ROOM,67,Improved,1970,327000
TAMPINES,5 ROOM,119,Improved,1997,518000
CLEMENTI,3 ROOM,67,New Generation,1978,285000
YISHUN,3 ROOM,67,New Generation,1985,370000
BUKIT MERAH,4 ROOM,92,New Generation,1978,550000
CLEMENTI,5 ROOM,119,Improved,1979,628000
BUKIT PANJANG,5 ROOM,110,Premium Apartment,2002,468000
MARINE PARADE,4 ROOM,82,Improved,1975,547000
ANG MO KIO,4 ROOM,95,Model A,2006,648000
JURONG WEST,3 ROOM,59,Improved,1978,287000
WOODLANDS,4 ROOM,100,Model A,1996,383000
SEMBAWANG,EXECUTIVE,143,Maisonette,1998,618000
SERANGOON,4 ROOM,91,New Generation,1985,390000
CLEMENTI,3 ROOM,67,New Generation,1979,448800
CHOA CHU KANG,4 ROOM,104,Model A,1993,370000
JURONG WEST,5 ROOM,110,Premium Apartment,2008,560000
PUNGGOL,5 ROOM,110,Premium Apartment,2005,548000
JURONG EAST,5 ROOM,131,Model A,1985,515000
BUKIT MERAH,5 ROOM,126,Improved,1996,800000
CLEMENTI,3 ROOM,67,New Generation,1979,375000
TOA PAYOH,4 ROOM,91,Model A,2006,560000
BUKIT BATOK,3 ROOM,68,New Generation,1986,335000
WOODLANDS,EXECUTIVE,163,Apartment,1995,678000
TAMPINES,3 ROOM,76,Model A,1984,370000
BUKIT MERAH,4 ROOM,90,Model A,2008,690000
BUKIT PANJANG,5 ROOM,110,Premium Apartment,2002,370000
SENGKANG,4 ROOM,90,Model A,2002,438000
BUKIT MERAH,4 ROOM,90,Model A,2002,618000
JURONG WEST,4 ROOM,91,Model A,2000,400000
SENGKANG,EXECUTIVE,135,Apartment,1999,615000
BUKIT MERAH,4 ROOM,74,Standard,1970,465000
PASIR RIS,5 ROOM,122,Improved,1995,530288
WOODLANDS,4 ROOM,91,New Generation,1987,370000
BUKIT PANJANG,5 ROOM,122,Improved,1988,491888
PASIR RIS,5 ROOM,125,Improved,1996,445000
CHOA CHU KANG,4 ROOM,92,New Generation,1978,320000
BEDOK,3 ROOM,67,New Generation,1978,309000
WOODLANDS,4 ROOM,103,Model A,1993,360000
JURONG WEST,3 ROOM,66,Improved,1974,309000
SENGKANG,5 ROOM,116,Improved,2000,510000
CHOA CHU KANG,4 ROOM,109,Model A,1995,380000
SENGKANG,4 ROOM,95,Premium Apartment,2004,368000
TOA PAYOH,3 ROOM,67,Improved,1972,412000
BUKIT BATOK,4 ROOM,84,Simplified,1987,360000
JURONG WEST,5 ROOM,110,Improved,2001,468000
CLEMENTI,3 ROOM,68,New Generation,1980,319000
ANG MO KIO,5 ROOM,118,Improved,1981,625000
BUKIT MERAH,3 ROOM,76,Improved,1973,440000
JURONG WEST,5 ROOM,109,Standard,1979,410000
JURONG WEST,5 ROOM,110,Improved,2001,485888
JURONG WEST,4 ROOM,104,Model A,1990,370000
JURONG WEST,3 ROOM,73,Model A,1988,334000
JURONG EAST,5 ROOM,135,Model A,1984,555000
JURONG WEST,4 ROOM,104,Model A,1990,351000
ANG MO KIO,3 ROOM,67,New Generation,1979,353000
PASIR RIS,4 ROOM,104,Model A,1992,485000
JURONG WEST,EXECUTIVE,133,Apartment,2002,580000
WOODLANDS,EXECUTIVE,177,Apartment,1995,695000
WOODLANDS,EXECUTIVE,174,Apartment,1995,690000
TAMPINES,4 ROOM,106,Model A,1984,497000
YISHUN,3 ROOM,68,Improved,1985,307000
BUKIT BATOK,4 ROOM,92,Model A,2004,495000
JURONG WEST,3 ROOM,65,Improved,1976,260000
TOA PAYOH,5 ROOM,116,Improved,2001,805000
QUEENSTOWN,3 ROOM,67,New Generation,1979,355000
TAMPINES,3 ROOM,64,Simplified,1985,330000
SENGKANG,5 ROOM,121,Improved,1999,518000
BUKIT MERAH,3 ROOM,67,New Generation,1981,401000
TAMPINES,4 ROOM,84,Simplified,1986,400000
PASIR RIS,4 ROOM,103,Model A,1989,435000
JURONG EAST,3 ROOM,67,New Generation,1981,360000
BUKIT BATOK,4 ROOM,91,New Generation,1985,335000
QUEENSTOWN,3 ROOM,65,Improved,1976,408888
SEMBAWANG,5 ROOM,111,Premium Apartment,2001,475000
YISHUN,3 ROOM,64,Simplified,1987,303000
GEYLANG,3 ROOM,68,New Generation,1981,378888
WOODLANDS,4 ROOM,86,Model A2,2000,393000
TOA PAYOH,3 ROOM,65,Improved,1972,390000
SERANGOON,3 ROOM,60,Improved,1985,330000
ANG MO KIO,4 ROOM,93,New Generation,1981,460000
YISHUN,5 ROOM,133,Improved,1986,412000
SENGKANG,EXECUTIVE,130,Apartment,2001,598000
PASIR RIS,4 ROOM,103,Model A,1996,397000
SENGKANG,5 ROOM,110,Improved,2000,555000
BUKIT PANJANG,4 ROOM,104,Model A,1988,368000
JURONG WEST,3 ROOM,67,New Generation,1985,330000
TOA PAYOH,2 ROOM,43,Standard,1967,242000
HOUGANG,4 ROOM,90,Model A2,1998,417000
KALLANG/WHAMPOA,5 ROOM,109,Improved,2004,690000
QUEENSTOWN,3 ROOM,65,Improved,1978,363888
JURONG WEST,3 ROOM,74,Improved,1976,348000
CHOA CHU KANG,3 ROOM,73,Model A,1989,280000
BISHAN,3 ROOM,64,Simplified,1988,430000
QUEENSTOWN,4 ROOM,90,Model A,2006,635000
YISHUN,3 ROOM,67,New Generation,1985,353000
BEDOK,3 ROOM,66,Improved,1983,350000
BUKIT BATOK,4 ROOM,84,Simplified,1986,376000
JURONG WEST,5 ROOM,110,Premium Apartment,2008,460000
JURONG WEST,4 ROOM,109,Model A,1985,320000
CLEMENTI,3 ROOM,67,New Generation,1979,287000
PASIR RIS,5 ROOM,126,Improved,1995,502000
CHOA CHU KANG,5 ROOM,110,Improved,2002,410000
YISHUN,3 ROOM,74,Model A,1988,312000
SEMBAWANG,4 ROOM,94,Premium Apartment,2001,460000
KALLANG/WHAMPOA,EXECUTIVE,140,Apartment,1986,890000
PASIR RIS,5 ROOM,134,Model A,1996,540000
CHOA CHU KANG,4 ROOM,105,Model A,1993,490000
JURONG EAST,3 ROOM,73,Improved,1979,302000
JURONG WEST,4 ROOM,93,Premium Apartment,2006,434000
JURONG WEST,3 ROOM,75,Model A,1984,320000
WOODLANDS,5 ROOM,119,Improved,1996,445000
WOODLANDS,4 ROOM,102,Model A,1998,385000
YISHUN,3 ROOM,67,New Generation,1985,347000
JURONG WEST,EXECUTIVE,130,Apartment,2001,610000
PASIR RIS,4 ROOM,105,Model A,1996,425000
JURONG WEST,4 ROOM,91,Model A,2000,438000
HOUGANG,4 ROOM,85,Model A2,2004,365000
JURONG WEST,3 ROOM,73,Model A,1988,340000
YISHUN,4 ROOM,84,Simplified,1987,370000
BEDOK,4 ROOM,92,New Generation,1979,433888
HOUGANG,4 ROOM,101,Model A,1998,380000
SENGKANG,4 ROOM,93,Model A,2012,435000
BUKIT PANJANG,4 ROOM,90,Premium Apartment,2002,403000
TOA PAYOH,4 ROOM,104,Model A,1989,510000
YISHUN,4 ROOM,84,Simplified,1988,290000
YISHUN,5 ROOM,122,Improved,1988,433000
SERANGOON,5 ROOM,121,Improved,1986,735000
BUKIT MERAH,3 ROOM,88,New Generation,1978,472000
PASIR RIS,4 ROOM,104,Model A,1996,390000
BUKIT MERAH,4 ROOM,84,Simplified,1986,483000
BEDOK,4 ROOM,92,New Generation,1980,420000
BEDOK,4 ROOM,84,Simplified,1987,369000
BUKIT PANJANG,5 ROOM,121,Improved,1998,472000
BEDOK,EXECUTIVE,148,Maisonette,1985,530000
JURONG WEST,3 ROOM,64,Simplified,1986,270000
BUKIT MERAH,5 ROOM,117,Improved,1977,690000
TAMPINES,4 ROOM,104,Model A,1988,445000
TOA PAYOH,3 ROOM,67,Improved,1970,360000
JURONG EAST,5 ROOM,121,Improved,1983,520000
TAMPINES,4 ROOM,104,Model A,1984,453000
YISHUN,EXECUTIVE,159,Apartment,1992,730000
JURONG WEST,5 ROOM,122,Improved,1998,480000
PASIR RIS,4 ROOM,103,Model A,1989,416800
BUKIT PANJANG,4 ROOM,84,Simplified,1988,310000
BUKIT MERAH,3 ROOM,63,Improved,1973,365000
BUKIT TIMAH,3 ROOM,73,Improved,1974,463000
YISHUN,4 ROOM,93,New Generation,1985,403000
JURONG WEST,4 ROOM,91,Model A,2000,430000
JURONG WEST,4 ROOM,106,Model A,1993,365000
BUKIT BATOK,3 ROOM,69,Improved,1988,312000
YISHUN,4 ROOM,97,Model A,2012,408000
SENGKANG,4 ROOM,90,Model A,2001,395000
SERANGOON,4 ROOM,94,New Generation,1984,488000
ANG MO KIO,3 ROOM,75,New Generation,1980,320000
BEDOK,4 ROOM,92,New Generation,1979,380000
CHOA CHU KANG,5 ROOM,110,Improved,2002,338000
YISHUN,5 ROOM,122,Improved,1988,455000
TAMPINES,4 ROOM,103,Model A,1984,478000
JURONG WEST,5 ROOM,123,Premium Apartment,1998,565000
BUKIT BATOK,4 ROOM,103,Model A,1985,406000
TOA PAYOH,3 ROOM,67,Improved,1970,310000
TOA PAYOH,EXECUTIVE,147,Apartment,1993,840000
BISHAN,3 ROOM,68,Improved,1973,320000
BUKIT PANJANG,4 ROOM,90,Premium Apartment,2004,530000
SENGKANG,EXECUTIVE,134,Premium Apartment,2001,599000
CHOA CHU KANG,3 ROOM,68,New Generation,1981,330000
SENGKANG,4 ROOM,85,Model A2,2001,445000
